Trial Number,Test Number,Set Size,Words Displayed,Test Word,Is Target,Participant Response,Correct,Timestamp,Response Time
1,1,30,"['crowd', 'extra', 'lease', 'stuff', 'crazy', 'angry', 'flash', 'spend', 'drama', 'lunch', 'today', 'plant', 'model', 'craft', 'train', 'quiet', 'again', 'point', 'photo', 'leave', 'habit', 'brown', 'voice', 'plane', 'often', 'build', 'enjoy', 'large', 'ideal', 'grade']",prize,False,Yes,False,1730929403.0204887,1.5363490581512451
1,2,30,"['crowd', 'extra', 'lease', 'stuff', 'crazy', 'angry', 'flash', 'spend', 'drama', 'lunch', 'today', 'plant', 'model', 'craft', 'train', 'quiet', 'again', 'point', 'photo', 'leave', 'habit', 'brown', 'voice', 'plane', 'often', 'build', 'enjoy', 'large', 'ideal', 'grade']",crime,False,Yes,False,1730929404.835487,1.1138968467712402
1,3,30,"['crowd', 'extra', 'lease', 'stuff', 'crazy', 'angry', 'flash', 'spend', 'drama', 'lunch', 'today', 'plant', 'model', 'craft', 'train', 'quiet', 'again', 'point', 'photo', 'leave', 'habit', 'brown', 'voice', 'plane', 'often', 'build', 'enjoy', 'large', 'ideal', 'grade']",brown,True,Yes,True,1730929406.7564812,1.2194297313690186
1,4,30,"['crowd', 'extra', 'lease', 'stuff', 'crazy', 'angry', 'flash', 'spend', 'drama', 'lunch', 'today', 'plant', 'model', 'craft', 'train', 'quiet', 'again', 'point', 'photo', 'leave', 'habit', 'brown', 'voice', 'plane', 'often', 'build', 'enjoy', 'large', 'ideal', 'grade']",today,True,Yes,True,1730929408.0894833,0.6318042278289795
1,5,30,"['crowd', 'extra', 'lease', 'stuff', 'crazy', 'angry', 'flash', 'spend', 'drama', 'lunch', 'today', 'plant', 'model', 'craft', 'train', 'quiet', 'again', 'point', 'photo', 'leave', 'habit', 'brown', 'voice', 'plane', 'often', 'build', 'enjoy', 'large', 'ideal', 'grade']",grade,True,Yes,True,1730929409.5544834,0.7635796070098877
1,6,30,"['crowd', 'extra', 'lease', 'stuff', 'crazy', 'angry', 'flash', 'spend', 'drama', 'lunch', 'today', 'plant', 'model', 'craft', 'train', 'quiet', 'again', 'point', 'photo', 'leave', 'habit', 'brown', 'voice', 'plane', 'often', 'build', 'enjoy', 'large', 'ideal', 'grade']",would,False,No,True,1730929411.673483,1.4174678325653076
1,7,30,"['crowd', 'extra', 'lease', 'stuff', 'crazy', 'angry', 'flash', 'spend', 'drama', 'lunch', 'today', 'plant', 'model', 'craft', 'train', 'quiet', 'again', 'point', 'photo', 'leave', 'habit', 'brown', 'voice', 'plane', 'often', 'build', 'enjoy', 'large', 'ideal', 'grade']",worth,False,No,True,1730929413.8464828,1.4718799591064453
1,8,30,"['crowd', 'extra', 'lease', 'stuff', 'crazy', 'angry', 'flash', 'spend', 'drama', 'lunch', 'today', 'plant', 'model', 'craft', 'train', 'quiet', 'again', 'point', 'photo', 'leave', 'habit', 'brown', 'voice', 'plane', 'often', 'build', 'enjoy', 'large', 'ideal', 'grade']",train,True,Yes,True,1730929415.430482,0.882138729095459
1,9,30,"['crowd', 'extra', 'lease', 'stuff', 'crazy', 'angry', 'flash', 'spend', 'drama', 'lunch', 'today', 'plant', 'model', 'craft', 'train', 'quiet', 'again', 'point', 'photo', 'leave', 'habit', 'brown', 'voice', 'plane', 'often', 'build', 'enjoy', 'large', 'ideal', 'grade']",quiet,True,Yes,True,1730929418.764481,2.632611036300659
1,10,30,"['crowd', 'extra', 'lease', 'stuff', 'crazy', 'angry', 'flash', 'spend', 'drama', 'lunch', 'today', 'plant', 'model', 'craft', 'train', 'quiet', 'again', 'point', 'photo', 'leave', 'habit', 'brown', 'voice', 'plane', 'often', 'build', 'enjoy', 'large', 'ideal', 'grade']",worry,False,Yes,False,1730929420.3144855,0.8485054969787598
2,1,5,"['actor', 'curve', 'skill', 'month', 'adopt']",noted,False,No,True,1730929428.833482,1.3037405014038086
2,2,5,"['actor', 'curve', 'skill', 'month', 'adopt']",dozen,False,No,True,1730929430.2484818,0.7137100696563721
2,3,5,"['actor', 'curve', 'skill', 'month', 'adopt']",curve,True,Yes,True,1730929431.895482,0.9464054107666016
2,4,5,"['actor', 'curve', 'skill', 'month', 'adopt']",actor,True,Yes,True,1730929433.6764822,1.0803241729736328
2,5,5,"['actor', 'curve', 'skill', 'month', 'adopt']",rival,False,No,True,1730929435.2684836,0.8906369209289551
2,6,5,"['actor', 'curve', 'skill', 'month', 'adopt']",month,True,Yes,True,1730929437.0994825,1.130251169204712
2,7,5,"['actor', 'curve', 'skill', 'month', 'adopt']",piece,False,No,True,1730929438.876482,1.076230764389038
